transcript	theta_n1	theta_n2	half_life_rep1	half_life_rep2	mean_half_life
AAGAB	0.2631	0.2479	2.2705	2.4326	2.3515
AAMP	0.1306	0.0783	4.9539	8.5019	6.7279
AAR2	0.6777	0.6972	0.6121	0.5802	0.5961
AARS	0.3318	0.2832	1.7191	2.0818	1.9005
AARS2	0.3851	0.3284	1.4252	1.7410	1.5831
AASDHPPT	0.2001	0.1974	3.1037	3.1520	3.1279
AATF	0.1827	0.2049	3.4364	3.0232	3.2298
ABCA3	0.2608	0.2655	2.2941	2.2464	2.2703
ABCA7	0.2851	0.3456	2.0652	1.6349	1.8500
ABCB10	0.1353	0.1716	4.7683	3.6829	4.2256
ABCB8	0.2470	0.3039	2.4431	1.9135	2.1783
ABCC1	0.3957	0.3904	1.3760	1.4003	1.3882
ABCC4	0.1080	0.1819	6.0670	3.4521	4.7595
ABCC5	0.4782	0.4303	1.0656	1.2321	1.1489
ABCE1	0.1334	0.1407	4.8427	4.5703	4.7065
ABCF1	0.1934	0.2022	3.2246	3.0678	3.1462
ABCF2	0.2047	0.1852	3.0271	3.3846	3.2059
ABCF3	0.3328	0.3559	1.7131	1.5755	1.6443
ABHD2	0.2808	0.3422	2.1031	1.6547	1.8789
ABHD5	0.6275	0.6746	0.7018	0.6173	0.6596
ABI1	0.3460	0.3325	1.6322	1.7150	1.6736
ABL1	0.5777	0.5652	0.8041	0.8323	0.8182
ABL2	0.8347	0.8379	0.3851	0.3810	0.3831
ABT1	0.4942	0.4564	1.0169	1.1373	1.0771
AC002539.1	0.5290	0.4932	0.9208	1.0198	0.9703
AC004980.7	0.5106	0.7042	0.9701	0.5690	0.7696
AC009784.3	0.2949	0.2982	1.9838	1.9572	1.9705
AC016723.4	0.3234	0.3700	1.7745	1.5001	1.6373
AC024560.3	0.4959	0.5084	1.0121	0.9761	0.9941
AC069277.2	0.4008	0.4556	1.3532	1.1398	1.2465
AC079466.1	0.2829	0.2690	2.0848	2.2125	2.1486
AC084082.3	0.8896	0.9067	0.3146	0.2922	0.3034
AC093323.3	0.4272	0.4730	1.2439	1.0821	1.1630
AC093838.4	0.6653	0.8066	0.6333	0.4219	0.5276
AC105402.4	0.0831	0.0782	7.9904	8.5181	8.2543
ACACA	0.2936	0.2738	1.9944	2.1661	2.0803
ACAD9	0.2990	0.2822	1.9509	2.0906	2.0208
ACADM	0.1550	0.1723	4.1169	3.6658	3.8914
ACAP2	0.3287	0.3462	1.7389	1.6311	1.6850
ACAT2	0.1329	0.1156	4.8607	5.6446	5.2526
ACBD3	0.6704	0.6445	0.6246	0.6702	0.6474
ACBD6	0.2335	0.2147	2.6060	2.8677	2.7368
ACIN1	0.2915	0.3151	2.0111	1.8316	1.9213
ACLY	0.1115	0.1123	5.8643	5.8166	5.8405
ACO2	0.1502	0.1635	4.2599	3.8817	4.0708
ACP1	0.1451	0.1350	4.4225	4.7812	4.6019
ACSF3	0.4252	0.5445	1.2518	0.8816	1.0667
ACSL3	0.2602	0.2868	2.3001	2.0506	2.1754
