Gene stable ID	Mouse gene stable ID	Mouse homology type
ENSG00000283891		
ENSG00000251931		
ENSG00000207766		
ENSG00000275323		
ENSG00000276678		
ENSG00000207260		
ENSG00000265993		
ENSG00000207185		
ENSG00000283793		
ENSG00000201545		
ENSG00000283621		
ENSG00000264032		
ENSG00000207172		
ENSG00000206629	ENSMUSG00000065050	ortholog_one2one
ENSG00000283558		
ENSG00000252735	ENSMUSG00000095898	ortholog_one2many
ENSG00000252319		
ENSG00000201912	ENSMUSG00000084732	ortholog_one2many
ENSG00000274122		
ENSG00000200162		
ENSG00000200163		
ENSG00000276764		
ENSG00000275994	ENSMUSG00000065634	ortholog_many2many
ENSG00000275994	ENSMUSG00000077393	ortholog_many2many
ENSG00000277950		
ENSG00000222308		
ENSG00000201965		
ENSG00000252264	ENSMUSG00000088970	ortholog_one2one
ENSG00000200121		
ENSG00000251770	ENSMUSG00000084641	ortholog_one2one
ENSG00000202217		
ENSG00000244748		
ENSG00000251972		
ENSG00000212607	ENSMUSG00000077575	ortholog_one2many
ENSG00000283290		
ENSG00000207321		
ENSG00000284185		
ENSG00000263858		
ENSG00000283409		
ENSG00000264357		
ENSG00000264249		
ENSG00000239822		
ENSG00000274046		
ENSG00000199879		
ENSG00000221763		
ENSG00000278618		
ENSG00000264075		
ENSG00000252076	ENSMUSG00000087784	ortholog_one2one
ENSG00000263510		
ENSG00000266555		
ENSG00000264986		
ENSG00000207924		
ENSG00000243015		
ENSG00000207798		
ENSG00000268674		
ENSG00000264975		
ENSG00000201216		
ENSG00000277845		
ENSG00000266663		
ENSG00000283664		
ENSG00000207122		
ENSG00000212238	ENSMUSG00000088680	ortholog_one2one
ENSG00000201489		
ENSG00000277994	ENSMUSG00000098572	ortholog_one2one
ENSG00000206917		
ENSG00000206722	ENSMUSG00000064464	ortholog_one2one
ENSG00000222950	ENSMUSG00000088994	ortholog_one2many
ENSG00000244677		
ENSG00000277922	ENSMUSG00000099126	ortholog_one2one
ENSG00000222154		
ENSG00000277752	ENSMUSG00000098914	ortholog_one2one
ENSG00000272439		
ENSG00000241821		
ENSG00000265889	ENSMUSG00000064945	ortholog_one2many
ENSG00000207194		
ENSG00000273541	ENSMUSG00000099039	ortholog_one2one
ENSG00000202081	ENSMUSG00000088957	ortholog_one2one
ENSG00000202515		
ENSG00000252305		
ENSG00000276253		
ENSG00000221216	ENSMUSG00000089136	ortholog_one2many
ENSG00000200831	ENSMUSG00000064829	ortholog_one2one
ENSG00000278237		
ENSG00000271852	ENSMUSG00000089512	ortholog_one2one
ENSG00000201980		
ENSG00000251756		
ENSG00000244307		
ENSG00000199880		
ENSG00000276800	ENSMUSG00000092932	ortholog_many2many
ENSG00000276800	ENSMUSG00000092641	ortholog_many2many
ENSG00000276800	ENSMUSG00000092974	ortholog_many2many
ENSG00000276800	ENSMUSG00000093059	ortholog_many2many
ENSG00000276800	ENSMUSG00000093319	ortholog_many2many
ENSG00000276800	ENSMUSG00000093249	ortholog_many2many
ENSG00000276800	ENSMUSG00000098690	ortholog_many2many
ENSG00000276800	ENSMUSG00000093031	ortholog_many2many
ENSG00000276800	ENSMUSG00000093023	ortholog_many2many
ENSG00000276800	ENSMUSG00000092905	ortholog_many2many
ENSG00000276800	ENSMUSG00000093345	ortholog_many2many
ENSG00000276800	ENSMUSG00000093093	ortholog_many2many
ENSG00000276800	ENSMUSG00000093164	ortholog_many2many
ENSG00000276800	ENSMUSG00000098755	ortholog_many2many
ENSG00000276800	ENSMUSG00000092986	ortholog_many2many
ENSG00000276800	ENSMUSG00000092903	ortholog_many2many
ENSG00000201811		
ENSG00000222616	ENSMUSG00000084502	ortholog_one2one
ENSG00000275405		
ENSG00000207115	ENSMUSG00000064468	ortholog_one2one
ENSG00000252622		
ENSG00000238942	ENSMUSG00000088524	ortholog_one2one
ENSG00000264909		
ENSG00000222783		
ENSG00000281810		
ENSG00000242769		
ENSG00000206662		
ENSG00000199709		
ENSG00000212518		
ENSG00000222960		
ENSG00000222724		
ENSG00000207297	ENSMUSG00000065715	ortholog_one2one
ENSG00000202351		
ENSG00000207494		
ENSG00000206806	ENSMUSG00000064527	ortholog_one2many
ENSG00000207265	ENSMUSG00000065721	ortholog_one2many
ENSG00000207071	ENSMUSG00000088154	ortholog_one2many
ENSG00000277967		
ENSG00000277081	ENSMUSG00000098979	ortholog_one2one
ENSG00000200884		
ENSG00000275915		
ENSG00000275808	ENSMUSG00000092932	ortholog_many2many
ENSG00000275808	ENSMUSG00000092641	ortholog_many2many
ENSG00000275808	ENSMUSG00000092974	ortholog_many2many
ENSG00000275808	ENSMUSG00000093059	ortholog_many2many
ENSG00000275808	ENSMUSG00000093319	ortholog_many2many
